id,release_date,movie,production_budget,domestic_gross,worldwide_gross,year_x,studio_bom,domestic_gross_y,foreign_gross_bom,year_y,movie_clean,profit,ROI,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,main_genres,clean_title
29,2013-06-14,man of steel,225000000.0,291045518.0,668045518.0,2013,WB,291000000.0,377000000.0,2013.0,man of steel,443045518.0,1.969091191111111,tt0770828,Man of Steel,Man of Steel,2013,143,"Action,Adventure,Sci-Fi",7.1,647288,Action,man of steel
31,2012-07-03,the amazing spider-man,220000000.0,262030663.0,757930663.0,2012,Sony,262000000.0,495900000.0,2012.0,the amazing spider-man,537930663.0,2.4451393772727275,tt0948470,The Amazing Spider-Man,The Amazing Spider-Man,2012,136,"Action,Adventure,Sci-Fi",7.0,525632,Action,the amazing spider-man
32,2012-05-18,battleship,220000000.0,65233400.0,302833400.0,2012,Uni.,65400000.0,237600000.0,2012.0,battleship,82833400.0,0.37651545454545454,tt1440129,Battleship,Battleship,2012,131,"Action,Adventure,Sci-Fi",5.8,225342,Action,battleship
33,2017-06-21,transformers: the last knight,217000000.0,130168683.0,605468683.0,2017,Par.,130199999.0,475300000.0,2017.0,transformers: the last knight,388468683.0,1.790178262672811,tt3371366,Transformers: The Last Knight,Transformers: The Last Knight,2017,154,"Action,Adventure,Sci-Fi",5.2,119007,Action,transformers: the last knight
34,2015-06-12,jurassic world,215000000.0,652270625.0,,2015,unknown,,,,jurassic world,,,tt0369610,Jurassic World,Jurassic World,2015,124,"Action,Adventure,Sci-Fi",7.0,539338,Action,jurassic world
35,2012-05-25,men in black 3,215000000.0,179020854.0,,2012,unknown,,,,men in black 3,,,tt1409024,Men in Black 3,Men in Black 3,2012,106,"Action,Adventure,Comedy",6.8,309879,Action,men in black 3
37,2014-06-27,transformers: age of extinction,210000000.0,245439076.0,1104039076.0,2014,Par.,245400000.0,858600000.0,2014.0,transformers: age of extinction,894039076.0,4.2573289333333335,tt2109248,Transformers: Age of Extinction,Transformers: Age of Extinction,2014,165,"Action,Adventure,Sci-Fi",5.7,283486,Action,transformers: age of extinction
39,2010-05-14,robin hood,210000000.0,105487148.0,321887148.0,2010,Uni.,105300000.0,216400000.0,2010.0,robin hood,111887148.0,0.5327959428571428,tt0955308,Robin Hood,Robin Hood,2010,140,"Action,Adventure,Drama",6.6,239480,Action,robin hood
39,2010-05-14,robin hood,210000000.0,105487148.0,321887148.0,2010,Uni.,105300000.0,216400000.0,2010.0,robin hood,111887148.0,0.5327959428571428,tt2363363,Robin Hood,Robin Hood,2013,92,"Action,Drama",6.3,78,Action,robin hood
39,2010-05-14,robin hood,210000000.0,105487148.0,321887148.0,2010,Uni.,105300000.0,216400000.0,2010.0,robin hood,111887148.0,0.5327959428571428,tt4532826,Robin Hood,Robin Hood,2018,116,"Action,Adventure,Thriller",5.3,41588,Action,robin hood
